ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-7727,noMatchingTestCases,Buffer overflow in noMatchingTestCases(),Incorrect system behaviour or safety-function failure originating in noMatchingTestCases (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,104
FMEA-2815,handleExceptionMatchExpr,Buffer overflow in handleExceptionMatchExpr(),Incorrect system behaviour or safety-function failure originating in handleExceptionMatchExpr (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5641
FMEA-7723,benchmarkFailed,Buffer overflow in benchmarkFailed(),Incorrect system behaviour or safety-function failure originating in benchmarkFailed (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,102
FMEA-2818,Timer,State corruption in Timer(),Incorrect system behaviour or safety-function failure originating in Timer (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5842
FMEA-7719,benchmarkEnded,Buffer overflow in benchmarkEnded(),Incorrect system behaviour or safety-function failure originating in benchmarkEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,101
FMEA-7715,benchmarkStarting,Buffer overflow in benchmarkStarting(),Incorrect system behaviour or safety-function failure originating in benchmarkStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,100
FMEA-2823,start,Buffer overflow in start(),Incorrect system behaviour or safety-function failure originating in start (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5845
FMEA-2755,streamReconstructedExpression,Buffer overflow in streamReconstructedExpression(),Incorrect system behaviour or safety-function failure originating in streamReconstructedExpression (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5398
FMEA-7851,listTags,Buffer overflow in listTags(),Incorrect system behaviour or safety-function failure originating in listTags (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,56
FMEA-7847,listTests,Buffer overflow in listTests(),Incorrect system behaviour or safety-function failure originating in listTests (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,55
FMEA-2735,formatReconstructedExpression,Buffer overflow in formatReconstructedExpression(),Incorrect system behaviour or safety-function failure originating in formatReconstructedExpression (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5316
FMEA-7843,listListeners,Buffer overflow in listListeners(),Incorrect system behaviour or safety-function failure originating in listListeners (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,54
FMEA-2738,BinaryExpr,State corruption in BinaryExpr(),Incorrect system behaviour or safety-function failure originating in BinaryExpr (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5319
FMEA-7839,listReporters,Buffer overflow in listReporters(),Incorrect system behaviour or safety-function failure originating in listReporters (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,53
FMEA-7835,benchmarkFailed,Buffer overflow in benchmarkFailed(),Incorrect system behaviour or safety-function failure originating in benchmarkFailed (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,51
FMEA-2743,streamReconstructedExpression,Buffer overflow in streamReconstructedExpression(),Incorrect system behaviour or safety-function failure originating in streamReconstructedExpression (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5324
FMEA-7831,benchmarkEnded,Buffer overflow in benchmarkEnded(),Incorrect system behaviour or safety-function failure originating in benchmarkEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,50
FMEA-2747,BinaryExpr,Buffer overflow in BinaryExpr(),Incorrect system behaviour or safety-function failure originating in BinaryExpr (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5330
FMEA-7827,benchmarkStarting,Buffer overflow in benchmarkStarting(),Incorrect system behaviour or safety-function failure originating in benchmarkStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,49
FMEA-2750,UnaryExpr,State corruption in UnaryExpr(),Incorrect system behaviour or safety-function failure originating in UnaryExpr (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5395
FMEA-7823,benchmarkPreparing,Buffer overflow in benchmarkPreparing(),Incorrect system behaviour or safety-function failure originating in benchmarkPreparing (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,48
FMEA-7819,testRunEnded,Buffer overflow in testRunEnded(),Incorrect system behaviour or safety-function failure originating in testRunEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,46
FMEA-7711,benchmarkPreparing,Buffer overflow in benchmarkPreparing(),Incorrect system behaviour or safety-function failure originating in benchmarkPreparing (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,99
FMEA-7815,testCaseEnded,Buffer overflow in testCaseEnded(),Incorrect system behaviour or safety-function failure originating in testCaseEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,44
FMEA-2758,ExprLhs,State corruption in ExprLhs(),Incorrect system behaviour or safety-function failure originating in ExprLhs (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5411
FMEA-7811,sectionEnded,Buffer overflow in sectionEnded(),Incorrect system behaviour or safety-function failure originating in sectionEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,42
FMEA-7807,assertionEnded,Buffer overflow in assertionEnded(),Incorrect system behaviour or safety-function failure originating in assertionEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,40
FMEA-2762,Decomposer,State corruption in Decomposer(),Incorrect system behaviour or safety-function failure originating in Decomposer (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5564
FMEA-7803,assertionStarting,Buffer overflow in assertionStarting(),Incorrect system behaviour or safety-function failure originating in assertionStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,38
FMEA-2766,AssertionReaction,State corruption in AssertionReaction(),Incorrect system behaviour or safety-function failure originating in AssertionReaction (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5596
FMEA-7799,sectionStarting,Buffer overflow in sectionStarting(),Incorrect system behaviour or safety-function failure originating in sectionStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,36
FMEA-7795,testCaseStarting,Buffer overflow in testCaseStarting(),Incorrect system behaviour or safety-function failure originating in testCaseStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,34
FMEA-2770,AssertionHandler,State corruption in AssertionHandler(),Incorrect system behaviour or safety-function failure originating in AssertionHandler (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5602
FMEA-7791,testRunStarting,Buffer overflow in testRunStarting(),Incorrect system behaviour or safety-function failure originating in testRunStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,32
FMEA-7787,writeSourceInfo,Buffer overflow in writeSourceInfo(),Incorrect system behaviour or safety-function failure originating in writeSourceInfo (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_xml.hpp,28
FMEA-2775,handleExpr,Buffer overflow in handleExpr(),Incorrect system behaviour or safety-function failure originating in handleExpr (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5622
FMEA-2891,test,Buffer overflow in test(),Incorrect system behaviour or safety-function failure originating in test (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6091
FMEA-7635,testCaseEnded,Buffer overflow in testCaseEnded(),Incorrect system behaviour or safety-function failure originating in testCaseEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,53
FMEA-2870,AutoReg,State corruption in AutoReg(),Incorrect system behaviour or safety-function failure originating in AutoReg (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6016
FMEA-7631,testCasePartialEnded,Buffer overflow in testCasePartialEnded(),Incorrect system behaviour or safety-function failure originating in testCasePartialEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,52
FMEA-7627,sectionEnded,Buffer overflow in sectionEnded(),Incorrect system behaviour or safety-function failure originating in sectionEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,49
FMEA-2874,TestName,State corruption in TestName(),Incorrect system behaviour or safety-function failure originating in TestName (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6027
FMEA-7623,assertionEnded,Buffer overflow in assertionEnded(),Incorrect system behaviour or safety-function failure originating in assertionEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,47
FMEA-7619,assertionStarting,Buffer overflow in assertionStarting(),Incorrect system behaviour or safety-function failure originating in assertionStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,46
FMEA-2879,test,Buffer overflow in test(),Incorrect system behaviour or safety-function failure originating in test (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6028
FMEA-7615,sectionStarting,Buffer overflow in sectionStarting(),Incorrect system behaviour or safety-function failure originating in sectionStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,42
FMEA-2882,DummyUse,State corruption in DummyUse(),Incorrect system behaviour or safety-function failure originating in DummyUse (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6055
FMEA-7611,testCasePartialStarting,Buffer overflow in testCasePartialStarting(),Incorrect system behaviour or safety-function failure originating in testCasePartialStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,41
FMEA-2886,TestName,State corruption in TestName(),Incorrect system behaviour or safety-function failure originating in TestName (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6090
FMEA-7607,testCaseStarting,Buffer overflow in testCaseStarting(),Incorrect system behaviour or safety-function failure originating in testCaseStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,38
FMEA-7603,testRunStarting,Buffer overflow in testRunStarting(),Incorrect system behaviour or safety-function failure originating in testRunStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,36
FMEA-2867,NameAndTags,Buffer overflow in NameAndTags(),Incorrect system behaviour or safety-function failure originating in NameAndTags (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6009
FMEA-7599,reportInvalidTestSpec,Buffer overflow in reportInvalidTestSpec(),Incorrect system behaviour or safety-function failure originating in reportInvalidTestSpec (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,34
FMEA-7595,noMatchingTestCases,Buffer overflow in noMatchingTestCases(),Incorrect system behaviour or safety-function failure originating in noMatchingTestCases (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,33
FMEA-2895,reg_test,Buffer overflow in reg_test(),Incorrect system behaviour or safety-function failure originating in reg_test (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6508
FMEA-7591,fatalErrorEncountered,Buffer overflow in fatalErrorEncountered(),Incorrect system behaviour or safety-function failure originating in fatalErrorEncountered (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,32
FMEA-2899,reg_test,Buffer overflow in reg_test(),Incorrect system behaviour or safety-function failure originating in reg_test (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6515
FMEA-7587,benchmarkFailed,Buffer overflow in benchmarkFailed(),Incorrect system behaviour or safety-function failure originating in benchmarkFailed (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,30
FMEA-7583,benchmarkEnded,Buffer overflow in benchmarkEnded(),Incorrect system behaviour or safety-function failure originating in benchmarkEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,29
FMEA-2903,reg_test,Buffer overflow in reg_test(),Incorrect system behaviour or safety-function failure originating in reg_test (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6522
FMEA-7579,benchmarkStarting,Buffer overflow in benchmarkStarting(),Incorrect system behaviour or safety-function failure originating in benchmarkStarting (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,28
FMEA-2907,reg_test,Buffer overflow in reg_test(),Incorrect system behaviour or safety-function failure originating in reg_test (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6529
FMEA-7575,benchmarkPreparing,Buffer overflow in benchmarkPreparing(),Incorrect system behaviour or safety-function failure originating in benchmarkPreparing (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,27
FMEA-7570,StreamingReporterBase,State corruption in StreamingReporterBase(),Incorrect system behaviour or safety-function failure originating in StreamingReporterBase (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,18
FMEA-2910,TestName,State corruption in TestName(),Incorrect system behaviour or safety-function failure originating in TestName (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6537
FMEA-7671,printTestRunTotals,Buffer overflow in printTestRunTotals(),Incorrect system behaviour or safety-function failure originating in printTestRunTotals (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,89
FMEA-7707,hasAnyAssertions,Buffer overflow in hasAnyAssertions(),Incorrect system behaviour or safety-function failure originating in hasAnyAssertions (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,79
FMEA-2827,getElapsedNanoseconds,Buffer overflow in getElapsedNanoseconds(),Incorrect system behaviour or safety-function failure originating in getElapsedNanoseconds (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5846
FMEA-7703,SectionNode,Buffer overflow in SectionNode(),Incorrect system behaviour or safety-function failure originating in SectionNode (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,73
FMEA-7698,SectionNode,State corruption in SectionNode(),Incorrect system behaviour or safety-function failure originating in SectionNode (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,72
FMEA-2831,getElapsedMicroseconds,Buffer overflow in getElapsedMicroseconds(),Incorrect system behaviour or safety-function failure originating in getElapsedMicroseconds (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5847
FMEA-7695,Node,Buffer overflow in Node(),Incorrect system behaviour or safety-function failure originating in Node (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,66
FMEA-7690,Node,State corruption in Node(),Incorrect system behaviour or safety-function failure originating in Node (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,65
FMEA-2835,getElapsedMilliseconds,Buffer overflow in getElapsedMilliseconds(),Incorrect system behaviour or safety-function failure originating in getElapsedMilliseconds (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5848
FMEA-7686,CumulativeReporterBase,State corruption in CumulativeReporterBase(),Incorrect system behaviour or safety-function failure originating in CumulativeReporterBase (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,62
FMEA-7683,isBenchmark,Buffer overflow in isBenchmark(),Incorrect system behaviour or safety-function failure originating in isBenchmark (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,35
FMEA-2839,getElapsedSeconds,Buffer overflow in getElapsedSeconds(),Incorrect system behaviour or safety-function failure originating in getElapsedSeconds (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5849
FMEA-7679,isAssertion,Buffer overflow in isAssertion(),Incorrect system behaviour or safety-function failure originating in isAssertion (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,34
FMEA-2842,Section,State corruption in Section(),Incorrect system behaviour or safety-function failure originating in Section (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5858
FMEA-7674,AssertionOrBenchmarkResult,State corruption in AssertionOrBenchmarkResult(),Incorrect system behaviour or safety-function failure originating in AssertionOrBenchmarkResult (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_cumulative_base.hpp,24
FMEA-2731,ITransientExpression,Buffer overflow in ITransientExpression(),Incorrect system behaviour or safety-function failure originating in ITransientExpression (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5298
FMEA-2847,GetNewSectionHint,Buffer overflow in GetNewSectionHint(),Incorrect system behaviour or safety-function failure originating in GetNewSectionHint (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5911
FMEA-7667,defaultListTests,Buffer overflow in defaultListTests(),Incorrect system behaviour or safety-function failure originating in defaultListTests (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,78
FMEA-2850,ITestInvoker,State corruption in ITestInvoker(),Incorrect system behaviour or safety-function failure originating in ITestInvoker (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5954
FMEA-7663,defaultListTags,Buffer overflow in defaultListTags(),Incorrect system behaviour or safety-function failure originating in defaultListTags (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,67
FMEA-7659,defaultListListeners,Buffer overflow in defaultListListeners(),Incorrect system behaviour or safety-function failure originating in defaultListListeners (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,57
FMEA-2854,TestInvokerAsMethod,State corruption in TestInvokerAsMethod(),Incorrect system behaviour or safety-function failure originating in TestInvokerAsMethod (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5990
FMEA-7655,lineOfChars,Buffer overflow in lineOfChars(),Incorrect system behaviour or safety-function failure originating in lineOfChars (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,35
FMEA-7650,lineOfChars,State corruption in lineOfChars(),Incorrect system behaviour or safety-function failure originating in lineOfChars (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,33
FMEA-2859,invoke,Buffer overflow in invoke(),Incorrect system behaviour or safety-function failure originating in invoke (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,5995
FMEA-7647,shouldShowDuration,Buffer overflow in shouldShowDuration(),Incorrect system behaviour or safety-function failure originating in shouldShowDuration (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_helpers.hpp,29
FMEA-2862,NameAndTags,State corruption in NameAndTags(),Incorrect system behaviour or safety-function failure originating in NameAndTags (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,6008
FMEA-7643,skipTest,Buffer overflow in skipTest(),Incorrect system behaviour or safety-function failure originating in skipTest (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,58
FMEA-7639,testRunEnded,Buffer overflow in testRunEnded(),Incorrect system behaviour or safety-function failure originating in testRunEnded (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_streaming_base.hpp,56
FMEA-8027,printIssue,Buffer overflow in printIssue(),Incorrect system behaviour or safety-function failure originating in printIssue (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_compact.cpp,135
FMEA-2595,cardinality,Buffer overflow in cardinality(),Incorrect system behaviour or safety-function failure originating in cardinality (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,4700
FMEA-8059,showHelp,Buffer overflow in showHelp(),Incorrect system behaviour or safety-function failure originating in showHelp (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/catch_session.hpp,25
FMEA-8054,Session,State corruption in Session(),Incorrect system behaviour or safety-function failure originating in Session (class),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/catch_session.hpp,19
FMEA-2599,hint,Buffer overflow in hint(),Incorrect system behaviour or safety-function failure originating in hint (function),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,4707
FMEA-8051,printer,Buffer overflow in printer(),Incorrect system behaviour or safety-function failure originating in printer (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_compact.cpp,233
FMEA-2602,Arg,State corruption in Arg(),Incorrect system behaviour or safety-function failure originating in Arg (class),8,4,5,160,high,build-cov/_deps/catch2-src/extras/catch_amalgamated.hpp,4714
FMEA-8047,printRemainingMessages,Buffer overflow in printRemainingMessages(),Incorrect system behaviour or safety-function failure originating in printRemainingMessages (function),8,4,5,160,high,build-cov/_deps/catch2-src/src/catch2/reporters/catch_reporter_compact.cpp,169
